sport,requested_name,player_key,matched_name,match_score,espn_athlete_id,headshot_url,local_repo_path,github_raw_url,status
NHL,Martin Nečas,martin_necas_col,Martin Necas,1.0,4233586,https://a.espncdn.com/i/headshots/nhl/players/full/4233586.png,C:\Users\jeffw\OneDrive\DevProj\stinger-assets\nhl\headshots\martin_necas_col.png,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/nhl/headshots/martin_necas_col.png,DOWNLOADED
NHL,Zach Werenski,zach_werenski_cbj,Zach Werenski,1.0,3899972,https://a.espncdn.com/i/headshots/nhl/players/full/3899972.png,C:\Users\jeffw\OneDrive\DevProj\stinger-assets\nhl\headshots\zach_werenski_cbj.png,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/nhl/headshots/zach_werenski_cbj.png,DOWNLOADED
NHL,Macklin Celebrini,macklin_celebrini_sjs,Macklin Celebrini,1.0,5206628,https://a.espncdn.com/i/headshots/nhl/players/full/5206628.png,C:\Users\jeffw\OneDrive\DevProj\stinger-assets\nhl\headshots\macklin_celebrini_sjs.png,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/nhl/headshots/macklin_celebrini_sjs.png,DOWNLOADED
NHL,Kirill Kaprizov,kirill_kaprizov_min,Kirill Kaprizov,1.0,3942335,https://a.espncdn.com/i/headshots/nhl/players/full/3942335.png,C:\Users\jeffw\OneDrive\DevProj\stinger-assets\nhl\headshots\kirill_kaprizov_min.png,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/nhl/headshots/kirill_kaprizov_min.png,DOWNLOADED
NHL,Matt Boldy,matt_boldy_min,Matt Boldy,1.0,4565233,https://a.espncdn.com/i/headshots/nhl/players/full/4565233.png,C:\Users\jeffw\OneDrive\DevProj\stinger-assets\nhl\headshots\matt_boldy_min.png,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/nhl/headshots/matt_boldy_min.png,DOWNLOADED
NHL,Jake Guentzel,jake_guentzel_tbl,Jake Guentzel,1.0,3042083,https://a.espncdn.com/i/headshots/nhl/players/full/3042083.png,C:\Users\jeffw\OneDrive\DevProj\stinger-assets\nhl\headshots\jake_guentzel_tbl.png,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/nhl/headshots/jake_guentzel_tbl.png,DOWNLOADED
NHL,Brock Nelson,brock_nelson_col,Brock Nelson,1.0,5798,https://a.espncdn.com/i/headshots/nhl/players/full/5798.png,C:\Users\jeffw\OneDrive\DevProj\stinger-assets\nhl\headshots\brock_nelson_col.png,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/nhl/headshots/brock_nelson_col.png,DOWNLOADED
NHL,Cale Makar,cale_makar_col,Cale Makar,1.0,4233563,https://a.espncdn.com/i/headshots/nhl/players/full/4233563.png,C:\Users\jeffw\OneDrive\DevProj\stinger-assets\nhl\headshots\cale_makar_col.png,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/nhl/headshots/cale_makar_col.png,DOWNLOADED
NHL,Connor Bedard,connor_bedard_chi,Connor Bedard,1.0,5149125,https://a.espncdn.com/i/headshots/nhl/players/full/5149125.png,C:\Users\jeffw\OneDrive\DevProj\stinger-assets\nhl\headshots\connor_bedard_chi.png,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/nhl/headshots/connor_bedard_chi.png,DOWNLOADED
NHL,Jason Robertson,jason_robertson_dal,Jason Robertson,1.0,4233875,https://a.espncdn.com/i/headshots/nhl/players/full/4233875.png,C:\Users\jeffw\OneDrive\DevProj\stinger-assets\nhl\headshots\jason_robertson_dal.png,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/nhl/headshots/jason_robertson_dal.png,DOWNLOADED
NHL,Darren Raddysh,darren_raddysh_tbl,Darren Raddysh,1.0,3149843,https://a.espncdn.com/i/headshots/nhl/players/full/3149843.png,C:\Users\jeffw\OneDrive\DevProj\stinger-assets\nhl\headshots\darren_raddysh_tbl.png,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/nhl/headshots/darren_raddysh_tbl.png,DOWNLOADED
